contract_id,n_snapshots,mean_consecutive_diff,max_consecutive_diff,std_consecutive_diff
100001,42,0.3342428986480015,1.4148669792209736,0.3700376891083559
100002,55,0.28640509675296977,1.392731777907112,0.33533391816894825
100003,54,0.3152623105241152,1.4024655716828593,0.34030360626829326
100004,29,0.3299420155588049,1.4298362335894492,0.32398333341924207
100005,12,0.40801987830718445,1.2719964199806215,0.42228845732603815
100006,52,0.37039836816425437,1.499271984273747,0.3804787212965101
100007,13,0.462376255075019,1.2732625722883537,0.46206668183263344
100008,32,0.27164436028602235,1.474738164816081,0.3311857075948354
100009,32,0.28319490031700956,1.4358151146633533,0.3792643500495403
100010,77,0.3353761439338923,1.5169257257908275,0.37339321368574535
100011,31,0.29894714869487427,1.3507370775548857,0.3577925332829604
100012,57,0.2999122059495077,1.4451681461576278,0.3398910153947647
100013,35,0.4437991716523155,1.6189505305982659,0.46500901482601964
100014,59,0.31737652935301286,1.475678732517119,0.32092833608154026
100015,8,0.526031745960734,1.354654365941797,0.4913615380384824
100016,6,0.7247139747871219,1.2552297997655744,0.4351251666021603
100017,54,0.3350966053742384,1.415585454594498,0.39678060394894843
100018,77,0.34194452631418437,1.4941499707007302,0.2980759544538827
100019,42,0.32437294101504055,1.3680935233616045,0.35444520496672344
100020,71,0.3301625278221471,1.5530615412097835,0.3248469687245422
100021,79,0.3222749075880241,1.9508863502821236,0.4145793620473101
100022,29,0.42656114621273467,1.4995428792266465,0.45501938968455136
100023,44,0.3857803527866754,1.4920364551952188,0.4407072986854939
100024,32,0.2852199330112449,1.424101783995889,0.3201471986150967
100025,55,0.3337117242982185,1.5275615595023755,0.33726953751877786
100026,45,0.3210911237411169,1.393461296683151,0.3569791293604375
100027,66,0.2705901802030271,1.437046491139958,0.24603849200095876
100028,7,0.7681860744006501,1.4667635289410532,0.5165327172253029
100029,8,0.54167502289411,1.397633442163255,0.5322416041699183
100030,79,0.302352816980365,1.5732959551915697,0.3130885708773304
100031,64,0.3471698531410034,1.8646386092816403,0.41439198801925736
100032,38,0.2933535633635649,1.3545954269484728,0.28719462069259183
100033,49,0.3210631843666914,1.3984930017413588,0.3484629680324131
100034,72,0.3191764753580336,1.485306226044248,0.3110801572280805
100035,43,0.3695370121362351,1.4250425712381747,0.33994631163787536
100036,57,0.30086498930051303,1.4074837538415228,0.32011305189745826
100037,70,0.3094891229065161,1.4938047135548178,0.3141178313381606
100038,6,0.697302441249275,1.2743074786929574,0.4746077528513601
100039,45,0.2961159544283585,1.418981986174673,0.28234258696322495
100040,8,0.5440208296544443,1.3566373527580868,0.49269359250716743
100041,53,0.31907592136172774,1.409180815599128,0.3385655922196634
100042,80,0.29026743523395176,1.5374984139980261,0.32628697839673276
100043,51,0.2947414412608984,1.4023361444533478,0.33503690877020775
100044,72,0.35125924172428274,1.5033058770005885,0.33932077863895677
100045,60,0.3731386060979116,1.4948305343875832,0.3982290297509482
100046,44,0.4067477110370552,1.8073925069965293,0.454126362814606
100047,31,0.2909420386808105,1.4265561867914218,0.3228685129354621
100048,60,0.33110402888418733,1.7948431018805278,0.40703650024500965
100049,54,0.3170932364815925,1.4041012567468538,0.33457945863798383
100050,39,0.3275802511059698,1.3915222047675235,0.29414331235294455
100051,44,0.4056774670586955,1.5875650207346423,0.4730965685503162
100052,30,0.30302282423361004,1.4342539881438559,0.3433947130733411
100053,62,0.31322284588493216,1.423855303434759,0.3299326140454817
