contract_id,n_snapshots,mean_consecutive_diff,max_consecutive_diff,std_consecutive_diff,flagged_reason
100016,6,0.7247139747871219,1.2552297997655744,0.4351251666021603,mean_consecutive_diff >= P95 (0.6099)
100028,7,0.7681860744006501,1.4667635289410532,0.5165327172253029,mean_consecutive_diff >= P95 (0.6099)
100038,6,0.697302441249275,1.2743074786929574,0.4746077528513601,mean_consecutive_diff >= P95 (0.6099)
100057,7,0.613193282108063,1.3422701297783632,0.49252778330995545,mean_consecutive_diff >= P95 (0.6099)
100062,7,0.8413594207145975,1.6053000725896212,0.4863435373624713,mean_consecutive_diff >= P95 (0.6099)
100070,9,0.7717833334450673,1.440390118391656,0.3851811931405067,mean_consecutive_diff >= P95 (0.6099)
100074,7,0.6443549924143922,1.2587470120311484,0.432666700535369,mean_consecutive_diff >= P95 (0.6099)
100075,5,0.8467723776120699,1.292803928944338,0.45216428014021937,mean_consecutive_diff >= P95 (0.6099)
100087,7,0.8825341072294602,1.7321917708087722,0.5368563660810792,mean_consecutive_diff >= P95 (0.6099)
100133,8,0.7724596047293305,1.497565390430085,0.47713436551659033,mean_consecutive_diff >= P95 (0.6099)
100142,7,0.7916218060727646,1.5064801609126612,0.4603652156725334,mean_consecutive_diff >= P95 (0.6099)
100167,6,0.9139169401465029,1.4597303754448656,0.4960522813895719,mean_consecutive_diff >= P95 (0.6099)
100178,6,0.8869592196991078,1.6550010521826823,0.5574525938052678,mean_consecutive_diff >= P95 (0.6099)
100189,6,0.7518914413809556,1.284704241259142,0.42685061573725064,mean_consecutive_diff >= P95 (0.6099)
100236,6,0.7898578469017087,1.451789078658998,0.5326894967667773,mean_consecutive_diff >= P95 (0.6099)
100248,7,0.6502967960377921,1.3175505751921726,0.47438592716956657,mean_consecutive_diff >= P95 (0.6099)
100274,6,0.7492075079780663,1.3113376103514973,0.46003065345893324,mean_consecutive_diff >= P95 (0.6099)
100329,7,0.7277382186718696,1.3871484398153404,0.4662103319341483,mean_consecutive_diff >= P95 (0.6099)
100408,6,0.7309824949744336,1.272246192047614,0.4428017109381041,mean_consecutive_diff >= P95 (0.6099)
100417,6,0.7285967746643935,1.2578590759067,0.44435407594774184,mean_consecutive_diff >= P95 (0.6099)
100432,8,0.7297725654683378,1.4124078991639304,0.4077263308390636,mean_consecutive_diff >= P95 (0.6099)
100438,6,0.7186156119791548,1.25137632346788,0.4405909646349165,mean_consecutive_diff >= P95 (0.6099)
100462,7,0.8459507718525772,1.4856265819014975,0.4662179524254047,mean_consecutive_diff >= P95 (0.6099)
100489,7,0.6353428642453071,1.3681142502588384,0.49148536014753097,mean_consecutive_diff >= P95 (0.6099)
100490,7,0.6553499850525271,1.3993182735065255,0.4843864954195445,mean_consecutive_diff >= P95 (0.6099)
